sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement,history,source
99,AS/DIM/83C16/2017/18,Assam,,,,25.060088,92.807089,,,,uploaded landslide_report.pdf
100,AS/DIM/83C16/2017/19,Assam,,,,25.060944,92.80675,,,,uploaded landslide_report.pdf
101,AS/DIM/83C16/2017/15,Assam,,,,25.061375,92.795906,,,,uploaded landslide_report.pdf
102,AS/DIM/83C16/2017/17,Assam,,,,25.061417,92.806833,,,,uploaded landslide_report.pdf
103,AS/DIM/83C16/2017/13,Assam,,,,25.061847,92.79345,,,,uploaded landslide_report.pdf
104,AS/DIM/83C16/2017/14,Assam,,,,25.063378,92.795536,,,,uploaded landslide_report.pdf
105,AS/DIM/83C16/2017/12,Assam,,,,25.063472,92.807796,,,,uploaded landslide_report.pdf
106,AS/DIH/83G08/2020/33,Assam,,,,25.07,93.29,,,,uploaded landslide_report.pdf
107,AS/DIM/83C16/2017/16,Assam,,,,25.072636,92.794514,,,,uploaded landslide_report.pdf
108,AS/DIM/83C16/2017/11,Assam,,,,25.073228,92.814734,,,,uploaded landslide_report.pdf
109,AS/DIM/83C16/2017/09,Assam,,,,25.078935,92.95379,,,,uploaded landslide_report.pdf
110,AS/DIM/83C16/2017/08,Assam,,,,25.088389,92.958944,,,,uploaded landslide_report.pdf
111,AS/DIH/83G08/2020/31,Assam,,,,25.1,93.28,,,,uploaded landslide_report.pdf
112,AS/DIH/83G08/2020/32,Assam,,,,25.1,93.28,,,,uploaded landslide_report.pdf
113,AS/DIH/83G08/2020/36,Assam,,,,25.1,93.28,,,,uploaded landslide_report.pdf
114,AS/DIM/83C16/2017/06,Assam,,,,25.10275,92.986944,,,,uploaded landslide_report.pdf
115,AS/DIM/83C16/2017/07,Assam,,,,25.10292,92.986883,,,,uploaded landslide_report.pdf
116,AS/DIM/83C16/2017/01,Assam,,,,25.105414,92.972784,,,,uploaded landslide_report.pdf
117,AS/DIM/83G4/2015/14,Assam,,,,25.106,93.001,,,,uploaded landslide_report.pdf
118,AS/DIM/83C16/2017/02,Assam,,,,25.106956,92.991363,,,,uploaded landslide_report.pdf
119,AS/DIM/83G4/2015/13,Assam,,,,25.107,93.002,,,,uploaded landslide_report.pdf
120,AS/DIM/83C16/2017/31,Assam,,,,25.107546,92.885543,,,,uploaded landslide_report.pdf
121,AS/DIM/83G4/2015/15,Assam,,,,25.108,93.003,,,,uploaded landslide_report.pdf
122,AS/DIM/83C16/2017/03,Assam,,,,25.108759,92.978048,,,,uploaded landslide_report.pdf
123,AS/DIM/83C16/2017/04,Assam,,,,25.108806,92.975139,,,,uploaded landslide_report.pdf
124,AS/DIM/83C16/2017/34,Assam,,,,25.108877,92.929125,,,,uploaded landslide_report.pdf
125,AS/DIM/83C16/2017/33,Assam,,,,25.11219,92.86881,,,,uploaded landslide_report.pdf
126,AS/DIM/83C16/2018/30,Assam,,,,30.0,92.87756,,,,uploaded landslide_report.pdf
127,AS/DIM/83C16/2017/32,Assam,,,,25.11297,92.95433,,,,uploaded landslide_report.pdf
128,AS/DIM/83G4/2015/11,Assam,,,,25.118,93.014,,,,uploaded landslide_report.pdf
129,AS/DIM/83G4/2015/16,Assam,,,,25.119,93.017,,,,uploaded landslide_report.pdf
130,AS/DIM/83G4/2015/17,Assam,,,,25.119,93.018,,,,uploaded landslide_report.pdf
131,AS/DIM/83G4/2015/18,Assam,,,,25.12,93.02,,,,uploaded landslide_report.pdf
132,AS/NC/83C16/2009-10/AS-4,Assam,,,,25.121,92.915028,,,,uploaded landslide_report.pdf
133,AS/DIM/83G4/2015/55,Assam,,,,25.122,93.025,,,,uploaded landslide_report.pdf
134,AS/DIM/83G4/2015/21,Assam,,,,21.0,93.026,,,,uploaded landslide_report.pdf
135,AS/DIM/83G4/2015/19,Assam,,,,25.123,93.034,,,,uploaded landslide_report.pdf
136,AS/DIM/83G4/2015/20,Assam,,,,20.0,93.033,,,,uploaded landslide_report.pdf
137,AS/NC/83C16/2009-10/AS-5,Assam,,,,25.124306,92.904278,,,,uploaded landslide_report.pdf
138,AS/NC/83C16/2009-10/AS-3,Assam,,,,25.124583,92.989111,,,,uploaded landslide_report.pdf
139,AS/DIM/83C16/2017/35,Assam,,,,25.12906,92.97418,,,,uploaded landslide_report.pdf
140,AS/DIH/83G08/2020/17,Assam,,,,25.13,93.27,,,,uploaded landslide_report.pdf
141,AS/DIH/83G08/2020/19,Assam,,,,25.13,93.29,,,,uploaded landslide_report.pdf
142,AS/DIM/83G4/2015/65,Assam,,,,25.134,93.045,,,,uploaded landslide_report.pdf
143,ASM/DH/83G4/2016/19,Assam,,,,25.134472,93.018972,,,,uploaded landslide_report.pdf
144,AS/DIM/83G4/2015/27,Assam,,,,27.0,93.04,,,,uploaded landslide_report.pdf
145,AS/DIM/83G4/2015/32,Assam,,,,25.135,93.04,,,,uploaded landslide_report.pdf
146,AS/DIM/83G4/2015/36,Assam,,,,25.136,93.04,,,,uploaded landslide_report.pdf
147,AS/DIM/83G4/2015/29,Assam,,,,29.0,93.04,,,,uploaded landslide_report.pdf
148,AS/DIM/83G4/2015/34,Assam,,,,25.137,93.034,,,,uploaded landslide_report.pdf
149,AS/DIM/83G4/2015/35,Assam,,,,25.137,93.04,,,,uploaded landslide_report.pdf
150,AS/DIM/83G4/2015/22,Assam,,,,22.0,93.018,,,,uploaded landslide_report.pdf
151,AS/DIM/83G4/2015/56,Assam,,,,25.139,93.025,,,,uploaded landslide_report.pdf
152,AS/DIM/83G4/2015/58,Assam,,,,25.139,93.025,,,,uploaded landslide_report.pdf
153,AS/DIM/83G4/2015/30,Assam,,,,30.0,93.04,,,,uploaded landslide_report.pdf
154,ASM/DH/83G4/2016/18,Assam,,,,25.139611,93.019556,,,,uploaded landslide_report.pdf
155,AS/DIH/83G08/2020/20,Assam,,,,20.0,93.31,,,,uploaded landslide_report.pdf
156,AS/DIH/83G08/2020/30,Assam,,,,30.0,93.3,,,,uploaded landslide_report.pdf
157,ASM/DH/83G4/2016/17,Assam,,,,25.140417,93.020389,,,,uploaded landslide_report.pdf
158,AS/DIM/83G4/2015/28,Assam,,,,28.0,93.04,,,,uploaded landslide_report.pdf
159,AS/DIM/83G4/2015/31,Assam,,,,25.142,93.04,,,,uploaded landslide_report.pdf
160,AS/DIM/83G4/2015/49,Assam,,,,25.145,93.158,,,,uploaded landslide_report.pdf
161,ASM/DH/83G4/2016/44,Assam,,,,25.14525,93.029167,,,,uploaded landslide_report.pdf
162,ASM/DH/83G4/2016/16,Assam,,,,25.145861,93.024194,,,,uploaded landslide_report.pdf
163,AS/DH/83C16/2018/002,Assam,,,,25.146306,93.942167,,,,uploaded landslide_report.pdf
164,ASM/DH/83G4/2016/02,Assam,,,,25.146778,93.030972,,,,uploaded landslide_report.pdf
165,ASM/DH/83G4/2016/43,Assam,,,,25.148722,93.031917,,,,uploaded landslide_report.pdf
166,AS/DIH/83G08/2020/21,Assam,,,,21.0,93.37,,,,uploaded landslide_report.pdf
167,ASM/DH/83G4/2016/15,Assam,,,,25.150694,93.025833,,,,uploaded landslide_report.pdf
168,AS/DIM/83G4/2015/41,Assam,,,,25.155,93.067,,,,uploaded landslide_report.pdf
